,xmin,ymin,xmax,ymax
0,795.671,454.12244,813.6363,471.1416
1,220.92679,31.066862,239.47707,47.721912
2,571.72205,951.18286,581.4031,969.54755
3,260.5626,93.30829,275.27798,101.065125
4,569.124,396.18185,587.212,411.0286
5,427.96893,97.33799,442.26697,119.67111
6,568.8282,912.8793,576.8594,935.6486
7,568.36224,590.75037,576.63,612.2947
8,179.66696,75.164696,194.397,85.76281
9,398.1411,768.3207,406.2016,786.24426
10,560.0142,747.7051,568.85297,768.37537
11,416.94495,924.9636,424.22058,945.7013
12,688.6309,706.24036,698.16547,724.4482
13,381.2163,652.5848,390.94125,682.6688
14,597.46515,415.09256,613.86414,424.8109
15,567.3519,689.1914,575.08356,712.21906
16,950.589,705.21655,962.16254,737.1825
17,318.67014,481.8079,327.29633,512.41187
18,391.30832,706.37683,397.1037,714.88043
19,575.1682,848.63196,581.4922,860.80066
20,36.279373,263.9264,44.868763,277.33643
21,322.44815,530.6787,334.007,550.1486
22,395.8107,834.23676,403.76093,871.5115
23,329.73804,125.43535,372.43295,133.89119
24,570.0083,868.58826,576.881,884.6362
25,388.852,272.588,406.10245,280.84964
26,561.1134,657.8637,568.7742,679.38855
27,568.7062,541.6659,577.50696,568.98926
28,10.786099,315.87958,20.93702,346.63586
29,583.2539,991.00165,588.407,1000.2816
30,486.38388,76.430435,504.706,83.13565
31,644.80286,429.9336,669.4033,441.3067
32,690.9292,656.95,697.0978,670.2092
33,394.31262,794.7839,401.80356,818.7767
34,701.7847,753.61774,707.8952,764.67413
35,11.281852,364.30035,22.122953,378.03488
36,526.763,76.3902,565.3637,85.83806
37,380.5536,126.9082,408.76297,135.57549
38,406.3202,890.6761,415.077,912.71936
39,139.93074,95.84933,155.27818,108.848854
40,368.93484,614.3751,380.2447,635.42773
41,695.53595,739.56036,701.2526,751.00397
42,53.628906,187.47748,64.16414,226.57509
43,204.76308,64.333916,221.21565,83.67133
44,565.892,637.9594,573.1557,651.82996
45,705.3003,595.7122,715.2984,608.0692
46,66.27852,124.70515,76.72163,176.09595
47,162.04205,51.75632,182.69743,60.964466
48,686.31335,622.49384,694.8952,650.086
49,325.38428,427.2676,338.3796,469.08682
50,2.9753673,0.0,30.965298,35.564014
51,474.3181,75.87345,498.4378,83.97862
52,234.41966,88.24171,252.7156,95.515144
53,654.58044,533.52563,694.2293,606.8669
54,905.2524,655.5814,950.8966,713.00574
55,649.6696,538.06396,725.9496,580.02637
56,454.59824,350.99988,496.83728,409.38135
