,xmin,ymin,xmax,ymax
0,957,1023,959,1024
1,906,1023,907,1024
2,902,1023,905,1024
3,846,1023,847,1024
4,784,1023,785,1024
5,737,1023,738,1024
6,693,1023,694,1024
7,667,1023,668,1024
8,599,1023,602,1024
9,574,1023,576,1024
10,470,1023,472,1024
11,454,1023,456,1024
12,441,1023,442,1024
13,401,1023,402,1024
14,372,1023,373,1024
15,795,1022,796,1024
16,670,1022,671,1023
17,636,1022,645,1024
18,594,1022,596,1024
19,581,1022,582,1023
20,500,1022,505,1024
21,491,1022,492,1023
22,783,1021,784,1022
23,778,1021,779,1022
24,435,1021,440,1024
25,801,1020,802,1021
26,431,1020,432,1021
27,28,1020,30,1021
28,477,1019,478,1021
29,753,1018,755,1021
30,747,1018,752,1024
31,720,1018,721,1019
32,756,1017,757,1018
33,437,1017,438,1018
34,0,1015,1,1016
35,161,1013,162,1014
36,438,1012,439,1013
37,1023,1007,1024,1009
38,6,993,7,994
39,1023,977,1024,978
40,0,977,8,998
41,1023,974,1024,976
42,5,973,6,974
43,2,961,3,962
44,0,931,1,932
45,0,929,1,930
46,1021,920,1022,921
47,0,884,1,885
48,1022,881,1023,882
49,1022,841,1024,844
50,1015,828,1016,829
51,0,731,2,738
52,4,620,5,621
53,1017,607,1021,612
54,1016,606,1017,607
55,0,600,1,602
56,1,598,2,599
57,4,402,5,403
58,2,399,5,401
59,0,396,3,398
60,7,392,8,393
61,3,392,4,393
62,10,390,11,391
63,13,383,14,384
64,9,380,12,384
65,8,380,9,381
66,10,377,11,378
67,1016,296,1020,300
68,1018,279,1019,280
69,1023,277,1024,278
70,0,273,1,274
71,1023,241,1024,243
72,1023,188,1024,192
73,1,174,2,175
74,0,146,1,148
75,0,121,1,122
76,0,18,1,19
77,0,0,1024,1024
